parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
53,6076691.624,2218072.4,521.509,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
54,6067818.67,2224294.018,364.217,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
55,6071709.002,2226640.376,6839.392,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
56,6076128.256,2214344.039,21339.192000000003,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0,0,0,0
57,6056119.021000001,2212428.312,149.705,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
58,6055619.076,2212336.221,908.805,2223,0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
59,6050944.277000001,2208073.5319999997,80.005,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
60,6074925.078,2206145.387,28187.624,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
61,6058996.493,2207819.29,14635.962,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
62,6076711.174,2220578.182,1703.05,2223,0,9.0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0
63,6053793.637999999,2207879.997,13440.271999999999,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
64,6064534.364,2210424.713,14892.657,2223,0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
65,6065327.106000001,2216015.11,8511.485,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
66,6044874.647000001,2199929.374,3530.2740000000003,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
67,6070980.8610000005,2219400.779,3445.261,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
68,6064482.167,2205814.003,36884.718,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
69,6076560.938999999,2203626.273,6723.556,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
70,6074249.07,2227323.924,15346.405,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
71,6059971.473999999,2215405.367,6491.342,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
72,6069752.032000001,2213299.946,767.93,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
73,6059039.83,2213088.6569999997,13739.795,2223,0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,0,0,0,0
74,6068915.103999999,2212734.212,7244.33,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
75,6064492.246,2213062.005,15217.165,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
76,6060569.885,2210481.6180000002,5890.115,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
77,6077250.036,2226310.474,6472.852,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
78,6061119.645,2217255.738,2260.804,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
79,6057881.03,2210527.154,8189.013000000001,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
80,6045643.935,2202901.5409999997,79.834,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
81,6072421.734,2228635.62,496.98400000000004,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
82,6072819.496,2228812.576,99.54899999999999,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
83,6077038.671,2229091.3430000003,6846.874,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
84,6073429.547,2224712.556,3129.987,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
85,6071266.437999999,2224409.477,8519.286,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
86,6069928.217,2205717.7909999997,35388.429,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
87,6075252.661,2210152.305,12567.99,2223,0,5.0,0,0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,0,0
88,6072508.151000001,2211488.12,89.198,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
89,6056246.9520000005,2210462.625,431.02099999999996,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
90,6066608.839,2222428.775,3861.038,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
91,6075045.978999999,2230948.558,1468.0929999999998,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
92,6075687.585,2231157.8140000002,213.52900000000002,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
93,6069267.808999999,2216971.5919999997,65256.72,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
94,6063155.002,2215085.597,4602.477,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
95,6070241.2979999995,2213119.341,1102.392,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
96,6069974.37,2210333.64,13534.912,2223,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
97,6053412.517999999,2204805.845,17436.083,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
98,6045232.876,2201651.266,2412.114,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
99,6045390.0370000005,2198968.796,1291.887,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
100,6059029.408,2204476.9480000003,21297.744,2223,0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
101,6063673.45,2198435.527,11002.482,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
102,6076750.563999999,2219201.7709999997,5341.340999999999,2223,0,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,8.0,0,0,0,0
103,6055236.054,2200574.2569999998,17493.836,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
104,6076079.941000001,2225798.1769999997,4037.579,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
105,6064444.157000001,2215336.33,1734.315,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
106,6075270.958,2211453.779,1410.876,2223,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
107,6054660.114,2210328.597,7489.56,2223,0,0.0,0,0,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,0
108,6049731.914,2201408.173,57150.129,2223,0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
109,6084914.768999999,2222161.03,2515.891,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
110,6101121.965,2220741.294,21557.342999999997,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
111,6087863.732000001,2231987.694,1287.492,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
112,6083158.481000001,2220315.672,46490.112,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
113,6079815.255,2229580.296,7743.932,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
114,6082282.495,2229753.957,6368.295999999999,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
115,6084116.431,2224243.374,4431.616,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
116,6079031.316000001,2232615.4469999997,3591.384,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
117,6100053.08,2215771.062,8068.983,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
118,6080324.58,2232573.044,4285.056,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
119,6082420.924,2227329.068,6497.361,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
120,6090193.694,2225729.114,23018.561,2222,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
