TAZ,HU_SF,HU_MF,HU_OTH
646,0.0,0.0,0.0
647,0.0,0.0,0.0
648,0.0,0.0,0.0
649,1.0,62.0,0.0
650,0.0,23.0,0.0
651,3.0,128.0,0.0
652,3.0,257.0,0.0
653,0.0,27.0,0.0
654,1.0,34.0,0.0
655,18.0,572.0,0.0
656,0.0,0.0,0.0
657,4.0,0.0,0.0
658,0.0,0.0,0.0
659,0.0,0.0,0.0
660,0.0,18.0,0.0
661,0.0,0.0,0.0
662,0.0,0.0,0.0
663,0.0,206.0,0.0
664,0.0,0.0,0.0
665,4.0,12.0,0.0
666,0.0,0.0,0.0
667,3.0,25.0,0.0
668,0.0,0.0,0.0
669,1.0,16.0,0.0
670,10.0,14.0,0.0
671,0.0,0.0,0.0
672,0.0,0.0,0.0
673,2.0,35.0,0.0
674,0.0,0.0,0.0
675,0.0,18.0,0.0
676,0.0,0.0,0.0
677,0.0,0.0,0.0
678,0.0,0.0,0.0
679,0.0,0.0,0.0
680,0.0,0.0,0.0
681,0.0,0.0,0.0
682,0.0,0.0,0.0
683,3.0,74.0,0.0
684,0.0,0.0,0.0
685,17.0,7.0,0.0
686,0.0,0.0,0.0
687,0.0,0.0,275.0
688,0.0,217.0,0.0
689,0.0,0.0,0.0
690,1.0,25.0,0.0
691,2.0,0.0,0.0
692,0.0,0.0,0.0
693,0.0,0.0,0.0
694,0.0,0.0,0.0
695,0.0,0.0,0.0
696,0.0,0.0,0.0
697,1.0,224.0,0.0
698,0.0,88.0,0.0
699,55.0,0.0,0.0
700,11.0,112.0,0.0
701,0.0,2.0,1.0
702,0.0,0.0,0.0
703,2.0,0.0,0.0
704,0.0,0.0,0.0
705,0.0,0.0,0.0
706,0.0,0.0,0.0
707,0.0,0.0,0.0
708,20.0,4.0,0.0
721,7.0,0.0,0.0
722,1.0,0.0,0.0
723,0.0,0.0,0.0
724,0.0,0.0,0.0
725,9.0,0.0,3.0
726,3.0,0.0,0.0
727,7.0,0.0,0.0
728,3.0,0.0,0.0
729,24.0,8.0,4.0
730,1.0,0.0,0.0
731,5.0,0.0,0.0
732,17.0,0.0,0.0
733,0.0,0.0,0.0
734,0.0,0.0,0.0
735,0.0,0.0,0.0
736,56.0,12.0,74.0
737,44.0,172.0,0.0
738,1.0,35.0,1.0
739,203.0,0.0,0.0
740,8.0,0.0,0.0
741,59.0,0.0,0.0
742,30.0,12.0,0.0
743,312.0,108.0,0.0
744,68.0,34.0,0.0
745,59.0,53.0,0.0
746,0.0,0.0,0.0
747,114.0,4.0,0.0
748,527.0,185.0,1.0
749,296.0,6.0,0.0
750,433.0,162.0,0.0
751,74.0,24.0,3.0
752,52.0,69.0,27.0
753,157.0,19.0,2.0
754,84.0,516.0,0.0
755,446.0,294.0,0.0
756,32.0,44.0,0.0
757,303.0,0.0,0.0
758,4.0,0.0,0.0
759,73.0,2.0,0.0
760,0.0,0.0,0.0
761,3.0,0.0,0.0
762,1.0,0.0,0.0
763,218.0,2.0,2.0
764,54.0,4.0,0.0
765,150.0,289.0,0.0
766,341.0,0.0,0.0
767,24.0,0.0,0.0
768,0.0,0.0,0.0
769,0.0,0.0,0.0
770,0.0,0.0,0.0
771,0.0,0.0,1.0
772,0.0,0.0,3.0
773,18.0,0.0,1.0
774,67.0,0.0,5.0
775,345.0,262.0,0.0
776,23.0,0.0,0.0
777,3.0,0.0,0.0
778,2.0,0.0,0.0
779,0.0,0.0,0.0
780,5.0,0.0,3.0
781,27.0,0.0,1.0
782,38.0,0.0,0.0
783,233.0,0.0,0.0
784,4.0,0.0,0.0
785,0.0,0.0,0.0
786,0.0,0.0,0.0
787,124.0,4.0,0.0
788,11.0,0.0,1.0
789,11.0,0.0,0.0
790,19.0,0.0,1.0
801,1.0,0.0,0.0
802,8.0,0.0,5.0
803,12.0,0.0,0.0
804,77.0,0.0,3.0
805,42.0,0.0,3.0
806,62.0,0.0,2.0
807,3.0,0.0,0.0
808,6.0,0.0,0.0
809,9.0,0.0,3.0
810,17.0,0.0,2.0
811,28.0,0.0,1.0
812,5.0,0.0,2.0
813,0.0,0.0,4.0
814,1.0,0.0,3.0
815,20.0,0.0,1.0
816,6.0,5.0,2.0
817,40.0,0.0,8.0
831,0.0,0.0,0.0
832,165.0,107.0,204.0
833,446.0,188.0,0.0
834,596.0,100.0,0.0
835,260.0,566.0,0.0
836,289.0,88.0,0.0
837,6.0,700.0,0.0
838,314.0,0.0,0.0
839,392.0,278.0,0.0
840,6.0,0.0,0.0
841,0.0,0.0,0.0
842,3.0,0.0,0.0
843,308.0,356.0,0.0
844,536.0,309.0,0.0
845,490.0,224.0,0.0
846,565.0,116.0,0.0
847,321.0,66.0,0.0
848,213.0,45.0,0.0
849,451.0,150.0,0.0
850,129.0,192.0,0.0
851,456.0,224.0,0.0
852,547.0,121.0,0.0
853,561.0,98.0,0.0
854,587.0,115.0,0.0
855,523.0,136.0,1.0
856,257.0,145.0,0.0
857,554.0,197.0,6.0
858,559.0,34.0,0.0
859,497.0,109.0,0.0
860,2.0,14.0,0.0
861,98.0,8.0,0.0
862,81.0,202.0,0.0
863,3.0,7.0,0.0
864,420.0,366.0,0.0
865,696.0,47.0,0.0
866,540.0,418.0,0.0
867,609.0,162.0,0.0
868,19.0,0.0,0.0
869,237.0,9.0,0.0
870,61.0,107.0,0.0
871,22.0,0.0,0.0
872,594.0,36.0,0.0
873,370.0,99.0,0.0
874,113.0,143.0,0.0
875,20.0,123.0,0.0
876,193.0,128.0,0.0
877,147.0,48.0,0.0
878,7.0,0.0,0.0
879,274.0,93.0,0.0
880,101.0,25.0,0.0
881,1.0,6.0,0.0
882,110.0,100.0,0.0
883,0.0,41.0,0.0
884,1.0,0.0,0.0
885,0.0,0.0,0.0
901,89.0,0.0,129.0
902,22.0,272.0,0.0
903,517.0,0.0,9.0
904,310.0,52.0,0.0
905,603.0,0.0,0.0
906,437.0,0.0,0.0
907,548.0,264.0,0.0
908,347.0,0.0,0.0
909,69.0,132.0,0.0
910,0.0,0.0,0.0
911,413.0,285.0,1.0
912,420.0,45.0,0.0
913,452.0,0.0,0.0
914,0.0,20.0,0.0
915,206.0,0.0,0.0
916,0.0,0.0,0.0
917,2.0,716.0,2.0
918,400.0,393.0,0.0
919,312.0,48.0,0.0
920,217.0,904.0,0.0
921,0.0,0.0,0.0
922,0.0,0.0,0.0
923,0.0,0.0,0.0
924,0.0,794.0,0.0
925,374.0,78.0,0.0
926,248.0,351.0,0.0
927,0.0,110.0,0.0
928,0.0,192.0,0.0
929,0.0,794.0,4.0
930,0.0,0.0,0.0
931,0.0,0.0,0.0
932,0.0,0.0,0.0
933,0.0,0.0,0.0
934,0.0,0.0,0.0
935,0.0,0.0,0.0
936,0.0,0.0,0.0
937,1.0,0.0,0.0
938,168.0,0.0,0.0
939,200.0,0.0,0.0
940,0.0,0.0,0.0
941,169.0,60.0,0.0
942,0.0,0.0,0.0
943,434.0,359.0,0.0
944,186.0,856.0,0.0
945,230.0,376.0,0.0
946,68.0,1189.0,0.0
947,168.0,309.0,0.0
948,78.0,90.0,42.0
949,225.0,0.0,0.0
950,637.0,18.0,0.0
951,502.0,230.0,0.0
952,436.0,206.0,0.0
953,547.0,0.0,0.0
954,106.0,0.0,0.0
955,0.0,0.0,0.0
956,205.0,97.0,2.0
957,120.0,90.0,0.0
971,66.0,629.0,0.0
972,45.0,74.0,0.0
973,473.0,0.0,0.0
974,462.0,172.0,0.0
975,453.0,352.0,0.0
976,57.0,0.0,0.0
977,8.0,0.0,0.0
978,0.0,0.0,0.0
979,1.0,840.0,1.0
980,103.0,93.0,0.0
981,187.0,0.0,0.0
982,361.0,168.0,0.0
983,294.0,551.0,0.0
984,419.0,245.0,86.0
985,167.0,286.0,0.0
986,145.0,250.0,0.0
987,193.0,161.0,0.0
988,0.0,0.0,0.0
989,0.0,0.0,0.0
990,0.0,0.0,0.0
991,0.0,0.0,0.0
992,270.0,65.0,0.0
993,146.0,21.0,0.0
994,437.0,154.0,0.0
995,542.0,260.0,0.0
996,365.0,0.0,0.0
997,231.0,8.0,0.0
998,137.0,0.0,0.0
999,491.0,412.0,2.0
1000,204.0,0.0,0.0
1001,0.0,0.0,0.0
1002,0.0,0.0,0.0
1003,0.0,0.0,0.0
1004,290.0,42.0,0.0
1005,37.0,0.0,0.0
1006,151.0,935.0,0.0
1007,581.0,382.0,0.0
1008,631.0,0.0,0.0
1009,197.0,54.0,0.0
1010,136.0,148.0,0.0
1011,394.0,158.0,0.0
1012,166.0,474.0,0.0
1013,0.0,0.0,0.0
1014,588.0,0.0,0.0
1015,231.0,83.0,180.0
1016,308.0,0.0,0.0
1017,338.0,0.0,0.0
1018,535.0,0.0,0.0
1019,665.0,0.0,0.0
1020,970.0,0.0,0.0
1021,0.0,0.0,73.0
1022,0.0,0.0,153.0
1023,530.0,0.0,0.0
1024,483.0,0.0,0.0
1025,228.0,0.0,0.0
1026,0.0,0.0,0.0
1027,1.0,0.0,0.0
1028,207.0,0.0,0.0
1029,170.0,0.0,0.0
1030,295.0,0.0,0.0
1031,0.0,0.0,0.0
1032,1.0,0.0,0.0
1033,6.0,0.0,0.0
1034,114.0,0.0,4.0
1035,1.0,0.0,0.0
1036,5.0,0.0,0.0
1037,2.0,0.0,50.0
1038,3.0,0.0,0.0
1039,7.0,0.0,1.0
1040,3.0,0.0,0.0
1041,1.0,0.0,0.0
1042,46.0,0.0,4.0
1061,141.0,25.0,0.0
1062,538.0,16.0,0.0
1063,176.0,626.0,0.0
1064,213.0,146.0,0.0
1065,27.0,3.0,0.0
1066,75.0,132.0,0.0
1067,545.0,33.0,0.0
1068,420.0,609.0,0.0
1069,163.0,0.0,0.0
1070,0.0,0.0,164.0
1071,2.0,10.0,0.0
1072,117.0,225.0,0.0
1073,53.0,65.0,0.0
1074,71.0,16.0,0.0
1075,26.0,46.0,0.0
1076,3.0,13.0,12.0
1077,62.0,97.0,0.0
1078,98.0,0.0,0.0
1079,137.0,511.0,0.0
1080,189.0,167.0,0.0
1081,1.0,0.0,0.0
1082,43.0,5.0,1.0
1083,227.0,204.0,0.0
1084,264.0,53.0,0.0
1085,121.0,154.0,0.0
1086,200.0,14.0,0.0
1087,133.0,0.0,0.0
1088,53.0,50.0,0.0
1089,116.0,0.0,0.0
1090,0.0,252.0,0.0
1091,194.0,140.0,0.0
1092,591.0,80.0,2.0
1093,736.0,44.0,0.0
1094,632.0,13.0,0.0
1095,560.0,27.0,0.0
1096,444.0,8.0,0.0
1097,239.0,109.0,2.0
1098,350.0,4.0,0.0
1099,259.0,66.0,95.0
1100,36.0,27.0,0.0
1101,141.0,61.0,0.0
1102,455.0,0.0,0.0
1103,123.0,0.0,0.0
1104,266.0,0.0,0.0
1105,0.0,0.0,66.0
1106,15.0,0.0,2.0
1107,0.0,376.0,0.0
1108,81.0,70.0,0.0
1109,181.0,0.0,0.0
1110,209.0,13.0,2.0
1111,282.0,7.0,0.0
1112,221.0,110.0,0.0
1113,331.0,25.0,0.0
1114,556.0,596.0,0.0
1115,263.0,539.0,0.0
1116,0.0,190.0,0.0
1117,241.0,56.0,0.0
1118,236.0,365.0,2.0
1119,138.0,568.0,3.0
1120,49.0,809.0,0.0
1121,0.0,114.0,0.0
1122,223.0,2.0,0.0
1123,379.0,0.0,0.0
1124,0.0,0.0,0.0
1125,257.0,2.0,0.0
1126,129.0,0.0,0.0
1127,333.0,0.0,1.0
1128,3.0,28.0,0.0
1129,4.0,0.0,0.0
1130,0.0,0.0,0.0
1131,83.0,2.0,18.0
1132,36.0,0.0,0.0
1133,484.0,24.0,0.0
1134,561.0,68.0,0.0
1135,221.0,67.0,0.0
1136,526.0,41.0,0.0
1137,0.0,134.0,0.0
1138,0.0,970.0,0.0
1139,6.0,593.0,0.0
1140,113.0,0.0,0.0
1141,124.0,99.0,0.0
1142,157.0,10.0,0.0
1143,0.0,22.0,0.0
1144,90.0,174.0,0.0
1145,262.0,13.0,0.0
1146,261.0,0.0,1.0
1147,430.0,0.0,0.0
1148,0.0,0.0,0.0
1149,0.0,0.0,0.0
1150,11.0,0.0,0.0
1151,9.0,0.0,0.0
1152,6.0,0.0,0.0
1153,419.0,65.0,1.0
1154,448.0,159.0,0.0
1155,60.0,658.0,0.0
1156,531.0,224.0,0.0
1157,79.0,603.0,0.0
1158,235.0,0.0,0.0
