parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
189,6089346.898,2161210.941,13884.93,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
190,6135804.604,2170936.452,7196.458,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,6133066.023,2168375.715,7126.592,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,6123861.822,2165078.174,132.841,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,6138188.883,2162946.427,6903.54,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
194,6135581.677,2162987.46,7083.32,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,6122304.949,2160511.781,6881.494,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,6125309.194,2173730.351,6787.463,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,6130319.369,2165763.588,7067.968,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,6131602.928,2163050.225,14126.093,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,6115473.392,2151401.275,27791.72,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
200,6110090.048,2146308.404,27595.672,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,6119330.962,2146049.706,13807.347,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
202,6098959.109,2200074.674,53402.522,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0
203,6091220.35,2200357.275,974.944,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,6091182.408,2209422.246,14864.892,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,6080241.53,2210312.657,2614.058,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,6090804.778,2199497.612,9463.369,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
207,6124496.526,2220039.577,39068.775,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
208,6114797.541,2218602.817,23777.903,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,6130887.858,2223405.482,11712.907,2229,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
210,6132390.682,2219489.538,47707.47,2229,0,2,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
211,6111138.808,2222661.833,57.611,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,6113547.226,2223559.207,6964.053,2229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,6109968.326,2220246.512,10876.274,2229,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
214,6117924.472,2223488.574,6753.073,2229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,6113539.618,2217099.646,7907.162,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,6123471.566,2223463.135,9921.233,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,6117531.056,2219159.698,42372.439,2229,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0
218,6123325.586,2213732.652,41762.572,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
219,6119789.769,2213469.502,2579.502,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6107419.415,2208262.687,8367.88,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
