TAZ,HU_SF,HU_MF,HU_OTH
598,598.0010704928,642.0,0.0
599,552.0,483.0,0.0
600,112.0,0.0,324.0
601,1.0,63.0,0.0
602,363.0,105.0,0.0
603,473.0,171.0,0.0
604,0.0,382.0,0.0
605,381.0,0.0,0.0
606,253.0,5.0,0.0
607,142.0,0.0,0.0
608,369.7308267216684,101.88959314464616,0.0
609,210.46345643936,0.0,0.0
610,275.62210267744,112.4797850545,0.0
611,270.85184995648,0.0,0.0
612,230.4496280862472,317.8181381557128,0.0
613,229.64324332938068,161.8229222133782,2.0
614,2.0,0.0,0.0
615,0.0,0.0,0.0
631,0.0,0.0,0.0
632,0.0,0.0,0.0
633,32.072823338427824,28.648261158893263,0.0
634,37.798174114315536,101.24444077596708,0.0
635,32.0,93.14030942751,0.0
636,216.82447211133763,375.4765134914061,0.0
637,6.786572756143984,17.318720045194993,0.0
638,166.20418081901192,541.3122465553324,0.0
639,0.0,0.0,0.0
640,7.0,15.038788045750001,0.0
641,93.91886600236559,198.8409109020142,0.0
642,277.2024376449141,406.69183623922925,0.0
643,25.130047930115275,75.12895548930621,0.0
644,227.30936889051216,251.35371927746635,0.0
645,0.0,0.0,0.0
646,0.0,0.0,0.0
647,0.0,0.0,0.0
648,0.0,0.0,0.0
649,1.0,62.0,0.0
650,0.0,244.03333932888,0.0
651,2.0,279.36548434168003,0.0
652,3.0,272.86199745272,0.0
653,0.0,47.27673904304,0.0
654,0.0,243.04763032924,0.0
655,18.0,651.5278425594,0.0
656,0.0,0.0,0.0
657,4.0,0.0,0.0
658,0.0,0.0,0.0
659,0.0,0.0,0.0
660,0.0,18.0,0.0
661,0.0,0.0,0.0
662,0.0,0.0,0.0
663,0.0,206.0,0.0
664,0.0,0.0,0.0
665,4.0,93.75850723226,0.0
666,0.0,0.0,0.0
667,3.0,81.173761747,0.0
668,0.0,0.0,0.0
669,1.0,83.97221967139998,0.0
670,10.0,91.06351819924001,0.0
671,0.0,0.0,0.0
672,0.0,0.0,0.0
673,2.0,35.0,0.0
674,0.0,0.0,0.0
675,0.0,18.0,0.0
676,0.0,0.0,0.0
677,0.0,0.0,0.0
678,0.0,0.0,0.0
679,0.0,0.0,0.0
680,0.0,0.0,0.0
681,0.0,0.0,0.0
682,0.0,3.5814189004,0.0
683,3.0,466.11259852668,0.0
684,0.0,0.0,0.0
685,17.0,7.0,0.0
686,0.0,0.0,0.0
687,0.0,6.86473421872,275.0
688,0.0,217.0,0.0
689,0.0,6.825157880559999,0.0
690,1.0,25.0,0.0
691,2.0,0.0,0.0
692,0.0,0.0,0.0
693,0.0,0.0,0.0
694,0.0,0.0,0.0
695,0.0,0.0,0.0
696,0.0,0.0,0.0
697,1.0,290.16953188528,0.0
698,0.0,88.10532658928,0.0
699,55.0,0.0,0.0
700,11.0,112.0,0.0
701,0.0,2.0,1.0
702,0.0,0.0,0.0
703,2.0,75.85654923476,0.0
704,0.0,0.0,0.0
705,0.0,0.0,0.0
706,0.0,0.0,0.0
707,0.0,0.0,0.0
708,24.399203623439668,4.283121498642659,0.0
721,7.0,0.0,0.0
722,1.0,0.0,0.0
723,0.0,0.0,0.0
724,0.0,0.0,0.0
725,55.42305480037551,2.987669126435212,3.0
726,3.0,0.0,0.0
727,7.0,0.0,0.0
728,3.0,0.0,0.0
729,24.0,8.0,4.0
730,1.0,0.0,0.0
731,5.0,0.0,0.0
732,17.0,0.0,0.0
733,0.0,0.0,0.0
734,0.0,0.0,0.0
735,0.0,0.0,0.0
736,56.0,12.0,74.0
737,66.31463979284875,173.436113169702,0.0
738,1.0,35.0,1.0
739,203.0,0.0,0.0
740,8.0,0.0,0.0
741,59.0,0.0,0.0
742,41.95249710537295,12.769232157148782,0.0
743,368.2689406177763,113.1436212004042,0.0
744,101.79865016007088,38.868575008457846,0.0
745,75.89157136574644,56.462325501518606,0.0
746,0.0,0.0,0.0
747,114.0,4.0,0.0
748,527.0,185.0,1.0
749,300.23513504775485,6.27256246455282,0.0
750,517.575533866107,167.44306514231158,0.0
751,110.95798899001967,26.378521688316837,3.0
752,52.0,69.0,27.0
753,281.5318454539551,33.99228237095893,5.1098920677091355
754,103.00237941373129,517.2229445594941,0.0
755,546.4823479614254,300.4667870317238,0.0
756,38.33345108084262,44.40760472009843,0.0
757,331.28658474364613,1.8204522794609599,0.0
758,4.0,0.0,0.0
759,73.0,2.0,0.0
760,0.0,0.0,0.0
761,3.0,0.0,0.0
762,1.0,0.0,0.0
763,218.0,2.0,2.0
764,54.0,4.0,0.0
765,150.0,289.0,0.0
766,341.0,0.0,0.0
767,24.0,0.0,0.0
