parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
14353,6369088.92,2086872.58,13816244.57,2527,0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.615410914996367,18.615410914996367,0,0,0,0
14354,6363798.47,2084304.39,13942746.84,2529,0,16,202,0,0,24.035998767103838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34189495277576,34.377893719879594,0,0,0,0
14355,6342149.84,2110953.95,3483127.05,2041,0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14356,6342115.2,2106991.25,6981665.9,2041,0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14357,6344094.58,2106980.35,13985545.42,2041,0,28,0,0,0,0.0,0.0,0.0,0.0,2.0900868493133773,0.0,0.0,0.0,1.034189495277576,3.124276344590953,0,0,0,0
14358,6340661.99,2104532.69,404517.41,2041,0,9,0,0,0,0.36631792801428004,2.1593477861894397,0.23778532169348,0.0,1.50383149395336,0.39845107959447995,1.76089670659496,0.0,0.0,6.426630316040001,0,0,0,0
14359,6342177.38,2113596.12,3490067.34,2041,0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14360,6340801.82,2107147.72,6596154.75,2041,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.7531945809648,748.7531945809648,0,0,0,0
14361,6340824.71,2110961.36,3507495.58,2041,0,11,0,0,0,0.0,0.0,0.0,0.0,1.0450434246566886,0.0,0.0,0.0,0.0,1.0450434246566886,0,0,0,0
14362,6344128.29,2110950.12,6959786.48,2041,0,16,0,0,0,0.0,0.0,0.0,5.225217123283444,0.0,1.0450434246566886,0.0,0.0,26.888926877216967,33.15918742515711,0,0,0,0
14363,6340854.32,2113598.06,3500548.19,2041,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14364,6344157.14,2113587.81,6960273.79,2041,0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.854737381939398,25.854737381939398,0,0,0,0
14365,6349388.03,2107563.17,1603573.86,2511,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14366,6347250.26,2106058.31,13126946.31,2511,0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.444463438608489,13.444463438608489,0,0,0,0
14367,6349666.28,2108494.01,5237484.73,2511,0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14368,6348339.64,2107269.75,8899937.09,2511,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14369,6340884.96,2118197.69,1694470.42,2502,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.512842429163635,15.512842429163635,0,0,0,0
14370,6344174.86,2116224.94,6922801.36,2502,0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.102568485832728,3.102568485832728,0,0,0,0
14371,6344222.23,2121507.83,6925843.99,2502,0,134,0,0,0,0.0,0.0,0.0,0.0,2.0900868493133773,0.0,0.0,0.0,0.0,2.0900868493133773,0,0,0,0
14372,6344284.79,2123630.94,4239431.51,2502,0,17,0,0,0,0.0,0.0,0.0,0.0,1.0450434246566886,0.0,0.0,0.0,3.102568485832728,4.147611910489417,0,0,0,0
14373,6342200.89,2118216.48,1761000.26,2502,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14374,6342202.66,2116232.38,3478612.23,2502,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.102568485832728,3.102568485832728,0,0,0,0
14375,6344203.03,2124941.94,2775260.62,2502,0,4,0,0,0,0.0,0.0,0.0,0.0,1.0450434246566886,0.0,0.0,0.0,0.0,1.0450434246566886,0,0,0,0
14376,6344203.07,2118868.71,6979633.82,2502,0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,42.846780410924225,0.0,0.0,9.307705457498184,52.154485868422405,0,0,0,0
14377,6340962.42,2124147.46,3469802.99,2502,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14378,6340940.42,2122170.12,1788792.17,2502,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14379,6342686.99,2123625.74,653043.63,2502,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14380,6342231.93,2119524.74,1766231.33,2502,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14381,6340923.31,2120847.44,1730897.39,2502,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14382,6342183.17,2124291.08,2811323.28,2502,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14383,6342349.86,2121148.32,2285124.1,2502,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14384,6340880.62,2116237.33,3490201.61,2502,0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14385,6340912.08,2119532.05,1754473.84,2502,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14386,6342060.31,2122230.43,1175103.24,2502,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.239326466943032,7.239326466943032,0,0,0,0
