; TAZ,COUNTY,CITY,TOTHH,TOTPOP,TOTEMP,EMPEDU,EMPFOO,EMPGOV,EMPIND,EMPMED,EMPOFC,EMPOTH,EMPRET,EMPAGR
234,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Fresno,Unincorporated,181.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Fresno,Unincorporated,508.0,1351.0,85.69259884313516,4.766580531597059,28.097737870466887,3.0940961345454605,0.0,19.56806744550372,5.184701630859959,0.0,22.913036239606924,2.068378990555152
243,Fresno,Unincorporated,68.0,198.0,12.34189495277576,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.34189495277576
244,Fresno,Unincorporated,10.0,30.0,25.034189495277577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.034189495277576
245,Fresno,Unincorporated,258.0,692.0,461.12870893440805,2.6458671157016997,15.596690366241601,1.7174926891397004,0.0,10.861980790775402,2.8779607223422,0.0,12.718729643899405,414.709987606308
246,Fresno,Unincorporated,298.0,792.0,42.08435662904,2.3988083278552805,14.140343827357439,1.5571211952744806,0.0,9.847739451195359,2.60923011100048,0.0,11.531113716356963,0.0
247,Fresno,Unincorporated,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
248,Fresno,Unincorporated,13.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Fresno,Unincorporated,337.0,894.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
250,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Fresno,Unincorporated,330.0,876.0,25.172503394939998,1.4348326935115798,8.457961140699839,0.9313826256127802,0.0,5.890365794415961,1.5606952104862801,0.0,6.89726593021356,0.0
252,Fresno,Unincorporated,348.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Fresno,Unincorporated,614.0,1531.0,24.0,0.0,0.0,0.0,3.0,19.0,2.0,0.0,0.0,0.0
254,Fresno,Unincorporated,553.0,2052.0,30.0,0.0,0.0,0.0,1.0,16.0,4.0,3.0,6.0,0.0
255,Fresno,Unincorporated,425.0,1329.0,71.30770545749819,39.0,3.0,0.0,1.0,10.0,9.0,0.0,0.0,9.307705457498184
256,Fresno,Unincorporated,403.0,1254.0,35.0,0.0,1.0,0.0,12.0,5.0,14.0,2.0,1.0,0.0
257,Fresno,Unincorporated,190.0,595.0,56.034189495277566,0.0,43.0,0.0,0.0,1.0,9.0,1.0,1.0,1.034189495277576
258,Fresno,Unincorporated,256.0,1024.0,86.4444634386085,0.0,0.0,0.0,65.0,3.0,1.0,4.0,0.0,13.444463438608489
259,Fresno,Unincorporated,221.0,692.0,12.136757981110305,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,4.136757981110304
