TAZ,SOI,Base_EMP,transit_skim,IDX_Transit,sov_skim,IDX_SOV
957,Fresno,98.0,91802.0,0.7586206896551724,213516.2939340062,0.8815261044176707
958,,0.0,0.0,0.0,0.0,0.0
959,,0.0,0.0,0.0,0.0,0.0
960,,0.0,0.0,0.0,0.0,0.0
961,,0.0,0.0,0.0,0.0,0.0
962,,0.0,0.0,0.0,0.0,0.0
963,,0.0,0.0,0.0,0.0,0.0
964,,0.0,0.0,0.0,0.0,0.0
965,,0.0,0.0,0.0,0.0,0.0
966,,0.0,0.0,0.0,0.0,0.0
967,,0.0,0.0,0.0,0.0,0.0
968,,0.0,0.0,0.0,0.0,0.0
969,,0.0,0.0,0.0,0.0,0.0
970,,0.0,0.0,0.0,0.0,0.0
971,Fresno,663.0,105726.0,0.8480204342273308,223435.8625203519,0.9769076305220884
972,Fresno,336.0,132359.0,0.9744572158365262,226363.90785523615,0.9939759036144579
973,Fresno,164.0,147461.0,0.9936143039591315,223560.37447481533,0.9779116465863453
974,Fresno,564.0,149773.0,0.9948914431673053,221549.04988691336,0.9598393574297188
975,Fresno,233.0,107978.0,0.8659003831417624,218645.34106201542,0.9241967871485943
976,Fresno,703.0,85079.0,0.7100893997445722,219147.07370612808,0.9302208835341366
977,Fresno,40.0,73743.0,0.6615581098339719,215687.31097751882,0.8970883534136547
978,Fresno,316.0,75801.0,0.6679438058748404,212136.39516226202,0.8694779116465864
979,Fresno,729.0,47026.0,0.47126436781609193,209722.63703070616,0.8478915662650602
980,Fresno,1007.0,109244.0,0.876117496807152,226751.67878752193,0.9944779116465864
981,Fresno,31.0,133004.0,0.9770114942528736,226753.50085257806,0.9954819277108434
982,Fresno,294.0,142932.0,0.9885057471264368,224184.5881765305,0.983433734939759
983,Fresno,588.0,120678.0,0.9348659003831418,222142.05909688314,0.9673694779116466
984,Fresno,422.0,108655.0,0.8710089399744572,219299.64280402218,0.9337349397590361
985,Fresno,732.0,122394.0,0.9425287356321839,220429.61622654324,0.9467871485943775
986,Fresno,53.0,50175.0,0.5031928480204342,219513.20733389672,0.9367469879518072
987,Fresno,229.0,53971.0,0.5274584929757343,216535.50603703578,0.9061244979919679
988,Fresno,1257.0,47638.0,0.4776500638569604,210332.18922456537,0.856425702811245
989,Fresno,0.0,0.0,0.0,199838.5860653181,0.7484939759036144
990,Fresno,1461.0,19087.0,0.26436781609195403,201544.37614442027,0.767570281124498
991,Fresno,157.0,20391.0,0.2835249042145594,200707.94244737615,0.7580321285140562
