parcelid,SOI,COMMUNITY,TAZ,HU_NET,EMP_NET,TOTAL_SCORE,TAZ_HU_Target,TAZ_EMP_Target,SOI_HU_P,SOI_EMP_P,DEV,DEV_TAZ,DEV_SOI,SOI_HU_Target,SOI_EMP_Target
406182,Clovis, ,272,0.14116051712000002,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406183,Clovis, ,272,0.97999893768,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406184,Clovis, ,272,0.8933465585799999,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406185,Clovis, ,272,0.03799292028,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406186,Clovis, ,272,0.66194540706,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406187,Clovis, ,272,0.9059039522399999,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
406188,Clovis, ,272,0.31300120138,0.0,6.495814092784065,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
24543,Clovis, ,145,1.3446384265600002,0.0,6.480621647608476,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
5034,Clovis, ,145,1.2807153507200002,0.0,6.479202214588188,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402395,Clovis, ,273,0.08546734937999999,0.0,6.465332052190052,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402396,Clovis, ,273,0.66815066906,0.0,6.465332052190052,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402397,Clovis, ,273,0.8751868145999999,0.0,6.465332052190052,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
402398,Clovis, ,273,0.11576744312,0.0,6.465332052190052,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
24616,Clovis, ,145,1.9576777584,0.0,6.443164387350903,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
24657,Clovis, ,145,0.40825995808,0.0,6.443164387350903,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
26591,Clovis, ,145,2.23165896928,0.0,6.443164387350903,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
21703,Clovis, ,145,0.95999135664,0.0,6.388316202364838,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407134,Clovis, ,258,0.14878848236,0.0,6.343395389521343,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
4905,Clovis, ,145,1.09880352636,0.0,6.340797120719537,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
4025,Clovis, ,185,0.11459366048,0.0,6.248561416040987,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441543,Clovis, ,267,0.0,1.71378046464,6.211936771778789,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441544,Clovis, ,267,0.0,0.6541889203200001,6.211936771778789,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441546,Clovis, ,267,0.0,0.49414606592,6.211936771778789,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441547,Clovis, ,267,0.0,0.47361860096,6.211936771778789,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441548,Clovis, ,267,0.0,0.4530918502399999,6.211936771778789,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441549,Clovis, ,267,0.0,0.18484079104,6.211936771778789,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
1775,Clovis, ,200,9.216466104930001,1.9079425127400003,6.211871183025322,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407321,Clovis, ,275,0.09857056512,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
