MAZ,TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE,SCHL_Factor
60,2223,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
61,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
62,2223,Unincorporate,46,9,15.06515500702732,4.017374668540619,0.0,11.047780338486701,2.0900868493133773,0.0,0.0,0.0,0.0,2.0900868493133773,0.0,0.0,0.0,0.0,0,0,0,1.0
63,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
64,2223,Unincorporate,13,2,4.017374668540619,0.0,0.0,4.017374668540619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
65,2223,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
66,2223,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
67,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
68,2223,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
69,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
70,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
71,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
72,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
73,2223,Unincorporate,16,3,5.021718335675773,3.013031001405464,0.0,2.0086873342703093,136.51301337664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.51301337664,0,0,0,1.0
74,2223,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
75,2223,Unincorporate,6,1,2.0086873342703093,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
76,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
77,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
78,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
79,2223,Unincorporate,6,1,2.0086873342703093,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
80,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
81,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
82,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
83,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
84,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
85,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
86,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
87,2223,Unincorporate,29,5,9.039093004216392,0.0,0.0,9.039093004216392,15.67565136985033,0.0,0.0,0.0,15.67565136985033,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
88,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
89,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
90,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
91,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
92,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
93,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
94,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
95,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
96,2223,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
97,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
98,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
99,2223,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
