MAZ,TAZ,SOI,bike_skim,IDX_Bike
8184,1961,Selma,523.0,0.43001204093919326
8185,1961,Selma,632.0,0.46047561709813367
8186,1961,Selma,447.0,0.40872968091511136
8187,1965,Selma,2518.0,0.7512040939193257
8188,1965,Selma,2440.0,0.7431667670078266
8189,1965,Selma,2304.0,0.7297110174593618
8190,1965,Selma,2297.0,0.7291390728476821
8191,1967,Selma,3156.0,0.80210716435882
8192,1967,Selma,3151.0,0.8018663455749548
8193,1967,Selma,2809.0,0.7760686333534016
8194,1967,Selma,3149.0,0.8016556291390728
8195,1967,Selma,3424.0,0.820048163756773
8196,1967,Selma,3150.0,0.8017760385310054
8197,1967,Selma,3100.0,0.7986754966887417
8198,1967,Selma,3094.0,0.7980132450331126
8199,1967,Selma,3112.0,0.799367850692354
8200,1967,Selma,2912.0,0.7838350391330524
8201,1967,Selma,3096.0,0.7982540638169777
8202,1967,Selma,3172.0,0.8034918723660446
8203,1967,Selma,3069.0,0.7961167971101746
8204,1967,Selma,3056.0,0.7952438290186634
8205,1967,Selma,3076.0,0.7965382299819386
8206,1967,Selma,3103.0,0.7988561107766405
8207,1967,Selma,3178.0,0.8040337146297412
8208,1967,Selma,3275.0,0.8105960264900662
8209,1967,Selma,3042.0,0.794099939795304
8210,1967,Selma,3192.0,0.8051173991571342
8211,1967,Selma,2889.0,0.7818181818181819
8212,1967,Selma,2771.0,0.7723359422034919
8213,1967,Selma,3015.0,0.7916616496086695
8214,1967,Selma,3096.0,0.7982540638169777
8215,1967,Selma,3150.0,0.8017760385310054
8216,1967,Selma,3167.0,0.8030704394942806
8217,1967,Selma,3155.0,0.8020469596628537
8218,1967,Selma,3186.0,0.804635761589404
8219,1967,Selma,3180.0,0.8041240216736906
8220,1967,Selma,2951.0,0.7862131246237206
8221,1968,Selma,3010.0,0.7913305237808549
8222,1968,Selma,1020.0,0.5363937387116195
8223,1968,Selma,872.0,0.5111378687537628
8224,1968,Selma,2711.0,0.7669476219145094
8225,1968,Selma,1018.0,0.536062612883805
8226,1968,Selma,2921.0,0.7843467790487658
8227,1968,Selma,2700.0,0.7662853702588802
8228,1968,Selma,2969.0,0.7877182420228778
8229,1968,Selma,2777.0,0.7731186032510536
8230,1968,Selma,875.0,0.5117399157134257
8231,1968,Selma,2918.0,0.7841360626128838
8232,1968,Selma,2689.0,0.7655629139072848
8233,1968,Selma,958.0,0.5262191450933172
8234,1968,Selma,2802.0,0.7753461770018062
8235,1968,Selma,2678.0,0.7645695364238411
8236,1968,Selma,2998.0,0.7902167369054787
8237,1968,Selma,2679.0,0.7646899458157737
8238,1968,Selma,2743.0,0.7695364238410596
8239,1968,Selma,2807.0,0.7759783263094522
8240,1968,Selma,2801.0,0.7751956652618904
8241,1968,Selma,2605.0,0.7578266104756171
8242,1968,Selma,1195.0,0.5695364238410596
8243,1968,Selma,2727.0,0.7679711017459362
8244,1968,Selma,2663.0,0.7633052378085491
8245,1968,Selma,2959.0,0.7867850692354004
8246,1968,Selma,2721.0,0.7676098735701384
8247,1968,Selma,1024.0,0.5369656833232992
8248,1968,Selma,2918.0,0.7841360626128838
8249,1968,Selma,2956.0,0.7865743527995184
8250,1968,Selma,3109.0,0.7992173389524383
8251,1968,Selma,2977.0,0.7884406983744732
8252,1976,Selma,620.0,0.45701384708007226
8253,1976,Selma,387.0,0.3885310054184226
8254,1976,Selma,2288.0,0.7284768211920529
8255,1976,Selma,2123.0,0.7087296809151113
8256,1976,Selma,689.0,0.4728476821192053
8257,1976,Selma,444.0,0.40794701986754967
8258,1976,Selma,774.0,0.4919024683925346
8259,1976,Selma,2241.0,0.7239614689945816
8260,1976,Selma,2429.0,0.7420529801324504
8261,1976,Selma,239.0,0.34229379891631545
8262,1976,Selma,368.0,0.38260084286574353
8263,1976,Selma,398.0,0.3918723660445515
8264,1976,Selma,909.0,0.5170680313064419
8265,1976,Selma,773.0,0.4917519566526189
8266,1976,Selma,707.0,0.47627934978928355
8267,1976,Selma,383.0,0.3874473208910295
8268,1976,Selma,2271.0,0.7266706803130644
8269,1976,Selma,364.0,0.38142685129440096
8270,1976,Selma,385.0,0.3879590608067429
8271,1976,Selma,471.0,0.4149909692956051
8272,1976,Selma,276.0,0.35496688741721855
8273,1973,Selma,2914.0,0.7839855508729681
8274,1973,Selma,3184.0,0.804425045153522
8275,1973,Selma,2649.0,0.7618603251053582
8276,1973,Selma,2643.0,0.7609271523178808
8277,1973,Selma,2928.0,0.785009030704395
8278,1973,Selma,2980.0,0.7885611077664058
8279,1973,Selma,2782.0,0.7736604455147501
8280,1973,Selma,2732.0,0.768362432269717
8281,1973,Selma,2732.0,0.768362432269717
8282,1973,Selma,2678.0,0.7645695364238411
8283,1973,Selma,2662.0,0.7631547260686333
8284,1973,Selma,2737.0,0.7690848886213124
8285,1973,Selma,2639.0,0.7606562311860325
8286,1973,Selma,997.0,0.5327513546056593
8287,1973,Selma,2874.0,0.7809151113786875
8288,1973,Selma,2888.0,0.7816074653822999
8289,1973,Selma,2775.0,0.7728476821192053
8290,1973,Selma,2667.0,0.7635761589403973
8291,1973,Selma,2844.0,0.7785069235400361
8292,1973,Selma,2960.0,0.7868753762793498
8293,1973,Selma,2891.0,0.7820891029500301
8294,1973,Selma,2787.0,0.774051776038531
8295,1973,Selma,2525.0,0.7516556291390728
8296,1973,Selma,2708.0,0.7667369054786274
