TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE
175,Clovis,2,1,1.0,1.0,0.0,0.0,125.0,0.0,54.0,0.0,16.0,32.0,0.0,4.0,19.0,0.0,0,0,0
176,Clovis,1428,567,567.71909840468,317.37722147742113,250.34187692725885,0.0,555.8597530978502,76.60255743093752,138.60478654701697,2.88913282129032,0.0,180.42119063095822,110.11159751760432,2.0,41.09373016893264,4.1367579811103035,545,0,0
177,Clovis,104,41,41.0,8.0,33.0,0.0,344.0,32.0,109.0,0.0,12.0,47.0,64.0,12.0,68.0,0.0,0,0,0
178,Clovis,802,330,377.0,0.0,377.0,0.0,861.8765555565456,4.389313030240051,15.581540688596451,2.9262086868267003,434.0662321844709,56.3553090355493,47.921350973299454,143.885528079059,32.36562905611805,124.38544382238551,0,0,0
179,Clovis,0,0,0.0,0.0,0.0,0.0,635.0341894952776,0.0,257.0,0.0,29.0,2.0,33.0,24.0,289.0,1.0341894952775759,0,0,25
180,Clovis,954,414,477.0,477.0,0.0,0.0,357.6135093224,54.2973729518856,11.0,6.091382278821601,18.0,121.47188807676801,85.2591701538048,10.0,51.49369586112,0.0,617,0,0
181,Clovis,1049,399,437.0,437.0,0.0,0.0,378.0683789905552,9.0,133.0,27.0,4.0,80.0,17.0,21.0,85.0,2.0683789905551517,0,0,0
182,Clovis,1359,537,566.0,566.0,0.0,0.0,50.0,0.0,9.0,0.0,6.0,10.0,25.0,0.0,0.0,0.0,0,0,0
183,Clovis,1825,480,480.0,480.0,0.0,0.0,97.30770545749819,42.0,4.0,0.0,5.0,28.0,9.0,0.0,0.0,9.307705457498184,796,0,0
184,Clovis,0,0,0.0,0.0,0.0,0.0,300.49933759072,0.0,13.0,0.0,0.0,0.0,2.0,0.0,285.49933759072,0.0,0,0,0
185,Clovis,934,318,344.11459366048,233.11459366048,111.0,0.0,56.41027394333091,0.0,32.0,0.0,0.0,9.0,3.0,0.0,0.0,12.41027394333091,0,0,0
186,Clovis,158,54,58.0,0.0,0.0,58.0,379.89374433797,1.23030932904495,187.12507975016854,0.8202062193633,0.0,11.1449299214607,13.37943773256555,0.0,166.19378138536695,0.0,0,0,0
187,Clovis,1637,572,610.9575049764001,0.0,610.9575049764001,0.0,103.35861652464001,12.376999396072803,0.0,8.109068569840801,2.0,67.215169914784,13.657378643942405,0.0,0.0,0.0,0,0,0
188,Clovis,1384,442,489.0,287.0,202.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0,0,0
189,Clovis,1928,745,790.0,0.0,790.0,0.0,539.1018222009802,8.17437301387945,77.02846247851905,2.9890527275462997,1.0,97.9110144216777,51.316721257986046,60.0,236.54544032026143,4.1367579811103035,0,0,0
190,Clovis,749,235,236.41464883984,181.24372862112,55.17092021872,0.0,60.0765395567,42.0765395567,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,716,0,0
191,Clovis,730,217,217.0,1.0,216.0,0.0,1342.8795087463127,41.0,313.0,0.0,43.0,112.0,105.0,56.0,669.7769402604799,3.1025684858327276,0,0,0
192,Clovis,813,394,394.99233975888006,340.1136928,54.878646958880005,0.0,58.51284242916364,0.0,7.0,0.0,0.0,14.0,4.0,1.0,17.0,15.512842429163637,0,0,0
193,Clovis,0,0,0.0,0.0,0.0,0.0,1205.0,0.0,501.0,0.0,0.0,9.0,80.0,87.0,528.0,0.0,0,0,0
194,Clovis,1221,526,566.95622285576,83.0,483.95622285576,0.0,75.0,21.0,48.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0,0,0
195,Clovis,1890,846,918.14840320216,500.0,418.14840320216,0.0,456.16907065256964,2.8327647424644,63.0,1.8559493140284002,0.0,227.721785141232,102.1258093709952,0.0,51.0,7.6327620838497126,0,0,0
196,Clovis,1164,412,415.0,370.0,45.0,0.0,397.61541091499635,0.0,0.0,0.0,29.0,75.0,63.0,19.0,193.0,18.615410914996364,0,0,0
197,Clovis,859,304,307.0,307.0,0.0,0.0,87.58122141971879,0.0,0.0,0.0,13.0,32.0,25.0,0.0,0.0,17.58122141971879,0,0,0
198,Clovis,1824,493,493.0,493.0,0.0,0.0,119.64960041027393,39.0,0.0,0.0,11.0,24.0,9.0,8.0,9.0,19.64960041027394,768,0,0
199,Clovis,1544,473,473.38455330376,246.0,227.38455330376001,0.0,456.323783398674,19.237756533318,27.0,12.604047383898001,36.0,233.60450979304002,107.227869278144,1.0,0.0,19.64960041027394,0,0,0
200,Clovis,3355,1203,1200.42847990429,469.76613501543966,730.6623448888504,0.0,225.18145847496058,0.10875272322618,15.64106868428064,0.07059387297138,3.0,137.44645854798117,18.11829243578988,2.0,40.52277624849076,8.273515962220607,0,0,0
